symbol,timeframe,vol_mult,entry_ratio,atr_sl_mult,retest_max,use_absorption_filter,n_long,n_short,n_signals,return_pct,win_rate,profit_factor,total_trades
BTC,1h,1.3,0.0,1.2,48,False,82,93,175,-209.69793143044024,37.242040256394326,0.5106907602691602,209
BTC,2h,1.3,0.0,1.2,48,False,85,89,174,-117.70338338964766,45.904972533352364,0.8556693793251278,262
BTC,4h,1.3,0.0,1.2,48,False,44,49,93,-209.19914287101784,39.10434393193014,0.46195519785212436,66
ETH,1h,1.3,0.0,1.2,48,False,95,92,187,-10.901323493919737,40.42553191489361,0.6950613707917792,329
ETH,2h,1.3,0.0,1.2,48,False,75,91,166,-13.076875349929612,41.80602006688963,0.7861040758817128,299
ETH,4h,1.3,0.0,1.2,48,False,44,48,92,-17.935372184879746,39.97781065088758,0.7239103762036206,169
BTC,1h,1.3,0.0,1.2,96,True,23,29,52,-28.76400632264759,44.827586206896555,0.8174113988894185,87
BTC,2h,1.3,0.0,1.2,96,True,27,30,57,31.72077685889696,45.63106796116505,0.9480211476647583,103
BTC,4h,1.3,0.0,1.2,96,True,14,11,25,-122.48468293282414,48.88888888888888,0.45714467386305935,45
ETH,1h,1.3,0.0,1.2,96,True,36,45,81,-7.999507219039884,41.61073825503356,0.6454171797476584,149
ETH,2h,1.3,0.0,1.2,96,True,28,33,61,0.458685175925237,45.21739130434783,1.0314860201508502,115
ETH,4h,1.3,0.0,1.2,96,True,16,19,35,-12.640858569164932,36.54079254079254,0.465725983506237,65
BTC,1h,1.3,0.0,1.2,96,False,88,96,184,-207.35646469996652,37.9521470011625,0.5480720401057199,242
BTC,2h,1.3,0.0,1.2,96,False,86,94,180,-78.95489811668477,46.79293592436975,0.892461816912355,272
BTC,4h,1.3,0.0,1.2,96,False,46,49,95,-210.29122759801118,37.357357357357365,0.4588386339624929,69
ETH,1h,1.3,0.0,1.2,96,False,98,100,198,-11.696655346714719,40.22988505747127,0.6859344927673975,348
ETH,2h,1.3,0.0,1.2,96,False,79,93,172,-14.527388573139593,42.12218649517685,0.7823022548127152,311
ETH,4h,1.3,0.0,1.2,96,False,45,49,94,-23.892559070309755,39.045537854222474,0.6788450787461143,173
BTC,1h,1.3,0.5,0.5,24,True,15,18,33,-65.30739461900576,32.78688524590164,0.48112662265605705,61
BTC,2h,1.3,0.5,0.5,24,True,18,20,38,5.362306544919097,44.44444444444444,0.9490621447317191,72
BTC,4h,1.3,0.5,0.5,24,True,10,9,19,-67.88002797878808,44.11764705882353,0.5054199384419121,34
ETH,1h,1.3,0.5,0.5,24,True,23,32,55,-5.42236235115989,37.38317757009346,0.6076640729529613,107
ETH,2h,1.3,0.5,0.5,24,True,20,18,38,0.8628767487601267,43.24324324324324,1.0346960989417573,74
